State,Year,Month,Indicated,Combined_Value
Arkansas,2022,4.0,Anxiety,26.0
Arkansas,2022,4.0,Depression,25.61626865671642
Arkansas,2022,5.0,Depression,23.36842105263158
Arkansas,2022,6.0,Anxiety,33.8
Arkansas,2022,6.0,Depression,25.664537572254336
Arkansas,2022,7.0,Anxiety,27.0
Arkansas,2022,7.0,Depression,21.78252100840336
Arkansas,2022,8.0,Depression,25.05694760820046
Arkansas,2022,9.0,Anxiety,38.3
Arkansas,2022,9.0,Depression,27.38607843137255
Arkansas,2022,10.0,Anxiety,39.1
Arkansas,2022,10.0,Depression,27.34134897360704
Arkansas,2022,11.0,Anxiety,36.3
Arkansas,2022,11.0,Depression,26.8800283286119
Arkansas,2022,12.0,Anxiety,32.1
Arkansas,2022,12.0,Depression,21.87561085972851
Arkansas,2023,1.0,Anxiety,25.5
Arkansas,2023,1.0,Depression,18.95262773722628
Arkansas,2023,2.0,Anxiety,28.9
Arkansas,2023,2.0,Depression,22.346532156368223
Arkansas,2023,3.0,Anxiety,32.4
Arkansas,2023,3.0,Depression,26.07436739659368
Arkansas,2023,4.0,Anxiety,30.9
Arkansas,2023,4.0,Depression,26.491904761904767
Arkansas,2023,5.0,Depression,23.756906077348066
Arkansas,2023,6.0,Anxiety,29.9
Arkansas,2023,6.0,Depression,27.035960451977402
Arkansas,2023,7.0,Anxiety,34.2
Arkansas,2023,7.0,Depression,27.41801749271137
Arkansas,2023,8.0,Anxiety,27.5
Arkansas,2023,8.0,Depression,23.245189873417726
Arkansas,2023,9.0,Anxiety,31.4
Arkansas,2023,9.0,Depression,25.892307692307693
Arkansas,2023,10.0,Anxiety,31.5
Arkansas,2023,10.0,Depression,25.856908517350163
Arkansas,2023,11.0,Depression,15.859030837004406
Arkansas,2023,12.0,Depression,23.809523809523807
Arkansas,2024,1.0,Anxiety,19.5
Arkansas,2024,1.0,Depression,20.95
Arkansas,2024,2.0,Anxiety,20.9
Arkansas,2024,2.0,Depression,18.4
Arkansas,2024,3.0,Anxiety,20.2
Arkansas,2024,3.0,Depression,18.9
Arkansas,2024,4.0,Anxiety,19.75
Arkansas,2024,4.0,Depression,19.15
Arkansas,2024,5.0,Anxiety,16.1
Arkansas,2024,5.0,Depression,16.299999999999997
Arkansas,2024,6.0,Anxiety,19.5
Arkansas,2024,6.0,Depression,19.8
Arkansas,2024,7.0,Anxiety,21.7
Arkansas,2024,7.0,Depression,20.35
Arkansas,2024,8.0,Anxiety,20.0
Arkansas,2024,8.0,Depression,17.95
Arkansas,2024,10.0,Depression,0.0
Arkansas,2024,11.0,Depression,0.0
Arkansas,2024,12.0,Depression,20.274914089347078
California,2019,1.0,Depression,15.670103092783505
California,2019,2.0,Depression,17.391304347826086
California,2019,3.0,Depression,16.43835616438356
California,2019,4.0,Depression,16.09517144856543
California,2019,5.0,Depression,24.324324324324326
California,2019,6.0,Depression,18.072289156626507
California,2019,7.0,Depression,15.295190335080921
California,2019,8.0,Depression,21.62162162162162
California,2019,9.0,Depression,13.48314606741573
California,2019,10.0,Depression,16.038164470695136
California,2019,11.0,Depression,25.0
California,2019,12.0,Depression,20.0
California,2020,1.0,Depression,14.772727272727273
California,2020,2.0,Depression,18.89763779527559
California,2020,3.0,Depression,16.8
California,2020,4.0,Anxiety,30.8
California,2020,4.0,Depression,22.630364963503652
California,2020,5.0,Anxiety,31.974999999999998
California,2020,5.0,Depression,25.791959459459463
California,2020,6.0,Anxiety,33.5
California,2020,6.0,Depression,18.04357142857143
California,2020,7.0,Anxiety,36.96666666666667
California,2020,7.0,Depression,24.12877192982456
California,2020,8.0,Anxiety,32.4
California,2020,8.0,Depression,18.612222222222222
California,2020,9.0,Anxiety,35.86666666666667
California,2020,9.0,Depression,20.860884353741497
California,2020,10.0,Anxiety,36.75
California,2020,10.0,Depression,20.067241379310346
California,2020,11.0,Anxiety,37.9
California,2020,11.0,Depression,26.429072164948455
California,2020,12.0,Anxiety,38.9
California,2020,12.0,Depression,21.403440860215056
California,2021,1.0,Anxiety,39.8
California,2021,1.0,Depression,20.550739644970417
California,2021,2.0,Anxiety,35.8
California,2021,2.0,Depression,20.66397590361446
